x,y,z
2.4161942836553454 nm,1.1949998996221458 nm,0.0029398819599156297 nm
1.7979841383075266 nm,0.9753658842742505 nm,0.3244518386091772 nm
1.8730861067293259 nm,1.014530946975184 nm,0.5106869562562826 nm
1.87242817293785 nm,0.9773014300573843 nm,-0.22217760326071556 nm
2.014202075256431 nm,1.0515775994853411 nm,-0.011131231590936961 nm
1.8108024719952884 nm,0.6804084034058174 nm,-0.2733432037303635 nm
2.1737151357883615 nm,0.6208174615880705 nm,-0.2241195959187001 nm
1.917496088660016 nm,1.0611089180488757 nm,0.09907582840462577 nm
2.032828659787535 nm,1.053081858230542 nm,0.4723951014819102 nm
2.0525274504153215 nm,1.437912129811972 nm,-0.3676881853421203 nm
1.7837424420826693 nm,1.0814788008525071 nm,0.11087318954498877 nm
1.8785359824469499 nm,1.126768422841427 nm,-0.07072463646352055 nm
1.8289139896278244 nm,0.7421486112525186 nm,-0.01627252694098023 nm
2.0334410909724965 nm,1.0547902139150591 nm,0.2873513641719429 nm
2.030083487324477 nm,1.1734548670056548 nm,0.418019237589055 nm
2.063709461759823 nm,0.8139449743767356 nm,-0.09041395842370092 nm
1.942506214408958 nm,1.486514322102309 nm,0.09211491103061463 nm
2.158245969540621 nm,1.272548455261699 nm,0.13636999184693555 nm
2.0022200782134383 nm,1.1230153180235678 nm,-0.13877063040189044 nm
1.924441649101371 nm,0.9978174912314798 nm,0.4619199208745366 nm
1.5973769451197324 nm,1.2471440184188938 nm,0.5846918613645592 nm
2.2386231660859175 nm,1.302403472521528 nm,-0.05358510140015974 nm
2.0586796213823244 nm,1.1207019850034796 nm,0.39254974326447284 nm
1.9655783478581528 nm,1.5075823784185354 nm,0.16336713752202897 nm
2.1503009132484645 nm,1.1988445981116331 nm,0.11666576000104323 nm
1.9093169703664523 nm,1.5396644855050625 nm,0.23309165176654645 nm
1.332234703296022 nm,2.116402197621927 nm,0.5271490098442858 nm
2.454047762959304 nm,1.2989820378138859 nm,0.2222350433929805 nm
2.027265308381288 nm,1.5140185431645377 nm,0.3150928668222345 nm
1.8306002318446375 nm,1.7020119207812021 nm,0.22366942571748316 nm
2.161520919422089 nm,1.5289165234479125 nm,-0.05860707230371823 nm
1.6112450872517172 nm,1.7912048751070335 nm,0.21633216324489268 nm
1.5664202423607987 nm,1.9363769052796422 nm,0.5209689401517466 nm
1.9342275360575567 nm,1.090757856313538 nm,0.5207535651747752 nm
1.798276972080855 nm,1.6897361767848424 nm,0.37095025865099734 nm
2.2489595715998902 nm,1.5584742620995868 nm,0.37917553350268496 nm
2.017081078336209 nm,1.5434581681986759 nm,0.1968181405322518 nm
1.1766003746469067 nm,2.338567159924778 nm,0.7605663626626146 nm
0.3046995018140203 nm,2.192188906539299 nm,1.8837389621077518 nm
3.1619052447113876 nm,0.65917241425803 nm,0.8169735623205497 nm
1.9400976023731347 nm,1.5949370277510146 nm,0.754645911399139 nm
1.2606545230401347 nm,1.4479579979047341 nm,1.166978677739463 nm
2.1569536448034885 nm,1.139242561006968 nm,0.6174279610057365 nm
0.6768225061836488 nm,0.7831059708459929 nm,2.066110304123003 nm
2.1718364207969243 nm,0.8049367501721465 nm,1.3632553178908724 nm
