x,y,z
0.8856489363659764 nm,0.8522209765927692 nm,0.24105990512415987 nm
1.180875895859539 nm,0.5113299116531957 nm,0.7230721062023444 nm
1.32845627763743 nm,0.7669903758084446 nm,0.7230637759234199 nm
1.328430230573851 nm,0.4260888750962223 nm,0.481998132092891 nm
1.1808924507999923 nm,0.6818186581318769 nm,0.4820365639502624 nm
1.3285084978440194 nm,0.596487111306512 nm,0.24099519327727015 nm
1.180879644021909 nm,0.8522791244644385 nm,0.2409790510402138 nm
1.4760935591365993 nm,0.5113438901616497 nm,0.7230490039175207 nm
1.6236755516399435 nm,0.7670049331715424 nm,0.7230694369050403 nm
1.623681050171613 nm,0.426068533137073 nm,0.48202879412274885 nm
1.476030244094943 nm,0.681708747221177 nm,0.4820374834884315 nm
1.623701471311192 nm,0.5965131913250061 nm,0.24103508901518197 nm
1.4760680184172834 nm,0.8522085045769958 nm,0.24098431579069507 nm
1.7713268414295573 nm,0.5112896686045589 nm,0.723081207048821 nm
1.9189542271707418 nm,0.7669838665810034 nm,0.7231125937353488 nm
1.9189565991582016 nm,0.42607396588002155 nm,0.482065793237257 nm
1.7713143316397415 nm,0.6817791932310463 nm,0.4820318938457215 nm
1.918946364207656 nm,0.5965966090744687 nm,0.24100399486168872 nm
1.7713296293459586 nm,0.8522125658812434 nm,0.24107440919870624 nm
2.0664982427908196 nm,0.5113201293300818 nm,0.7230804807835081 nm
2.2140972341303136 nm,0.766995444034116 nm,0.7231103024771568 nm
2.2141601735032994 nm,0.4261011060688216 nm,0.48201568562596675 nm
2.0665637404518087 nm,0.6817860636032826 nm,0.4820146458728301 nm
2.2141372294541584 nm,0.5965192863698375 nm,0.24100747457502947 nm
2.0665528702327522 nm,0.8521573274428784 nm,0.24105236966586993 nm
2.3618420044667614 nm,0.5112801083538911 nm,0.7231701779242128 nm
2.5093480053762907 nm,0.766994150237414 nm,0.7231453170785723 nm
2.509404023252561 nm,0.4261082434564342 nm,0.4820446191613207 nm
2.361706074117077 nm,0.6817486073263801 nm,0.48206979233707714 nm
2.5093487130366743 nm,0.5964563674926968 nm,0.24107339029004016 nm
2.3617170206820126 nm,0.8521818388005349 nm,0.24102960402915952 nm
2.656988378328464 nm,0.5112883945990636 nm,0.7231304220313939 nm
2.8045321234493743 nm,0.7670050433989748 nm,0.723105155364717 nm
2.8046005972948045 nm,0.42607100094126704 nm,0.48202859363647726 nm
2.657013623199191 nm,0.6817566093834688 nm,0.48208071220307724 nm
2.8045237256943962 nm,0.5965372724908303 nm,0.24100778238504847 nm
2.65697272078528 nm,0.8522332595020358 nm,0.24107899501513264 nm
2.952151704898591 nm,0.5113524950559246 nm,0.7231022846327946 nm
3.0998038519996056 nm,0.7669576163937685 nm,0.7231378878906712 nm
3.0997263479038946 nm,0.4260543666371499 nm,0.48206911867041247 nm
2.9521739314037916 nm,0.6816942738084758 nm,0.4820860474583789 nm
3.09981286544277 nm,0.5965287696252635 nm,0.24097751032509587 nm
2.952153797025341 nm,0.8521952589121176 nm,0.24095780718841597 nm
