x,y,z
-0.1312667620516821 nm ps⁻¹,-14.175198308720576 nm ps⁻¹,4.095267516401073 nm ps⁻¹
0.6909177806616366 nm ps⁻¹,10.436673960361356 nm ps⁻¹,-0.34475592395806903 nm ps⁻¹
-0.5666963031360188 nm ps⁻¹,-17.031100063046452 nm ps⁻¹,3.0032927806552507 nm ps⁻¹
-0.16216215293441288 nm ps⁻¹,15.699903269261467 nm ps⁻¹,-5.205915985247691 nm ps⁻¹
-0.12327999922489727 nm ps⁻¹,2.370527460889542 nm ps⁻¹,-1.1345708068141327 nm ps⁻¹
-0.16010399232169775 nm ps⁻¹,-0.496128072981486 nm ps⁻¹,-0.7045089497695153 nm ps⁻¹
-0.2517815443855792 nm ps⁻¹,-12.931356330024096 nm ps⁻¹,4.524701861744332 nm ps⁻¹
3.5960013868462273 nm ps⁻¹,4.540397059192248 nm ps⁻¹,-0.6816708325050214 nm ps⁻¹
5.319072148594721 nm ps⁻¹,-10.930807679383634 nm ps⁻¹,3.862895640383262 nm ps⁻¹
-0.09310359690350166 nm ps⁻¹,16.763307273012508 nm ps⁻¹,-4.587554216122033 nm ps⁻¹
1.319161828152584 nm ps⁻¹,2.412075334797715 nm ps⁻¹,-3.9947170831830037 nm ps⁻¹
0.19867528992017902 nm ps⁻¹,-0.29476167849022433 nm ps⁻¹,-0.8580133428263446 nm ps⁻¹
-16.524596592920464 nm ps⁻¹,0.8007821651150382 nm ps⁻¹,4.299237646430277 nm ps⁻¹
5.085857818745666 nm ps⁻¹,1.0601800050194332 nm ps⁻¹,4.586717010171979 nm ps⁻¹
7.1289732131953345 nm ps⁻¹,-0.3623843801451452 nm ps⁻¹,-0.3851509175713509 nm ps⁻¹
-19.195527664796828 nm ps⁻¹,-0.3459715590824233 nm ps⁻¹,-0.5959514135532559 nm ps⁻¹
7.246760530001947 nm ps⁻¹,-0.41746395724977114 nm ps⁻¹,-0.5841632058983035 nm ps⁻¹
-19.928691614811914 nm ps⁻¹,-0.4657641551590922 nm ps⁻¹,-0.599399237162771 nm ps⁻¹
11.119990059724694 nm ps⁻¹,-0.3054318382831125 nm ps⁻¹,-0.5716373578840906 nm ps⁻¹
-0.37262134996849455 nm ps⁻¹,-0.39288827850053704 nm ps⁻¹,-0.5875428901241656 nm ps⁻¹
-0.33746404335461305 nm ps⁻¹,-0.4477514955546094 nm ps⁻¹,-0.4845106938370484 nm ps⁻¹
12.034046496963386 nm ps⁻¹,-0.4021636897304156 nm ps⁻¹,-0.6590962553592653 nm ps⁻¹
-0.2579711833462526 nm ps⁻¹,-0.39790741894189086 nm ps⁻¹,-0.8057457235638184 nm ps⁻¹
12.449906979191809 nm ps⁻¹,-0.3533693961874961 nm ps⁻¹,-0.6367292448484482 nm ps⁻¹
-0.1505990416972459 nm ps⁻¹,-0.24778341708394325 nm ps⁻¹,-0.5403251821450826 nm ps⁻¹
-0.255689015742683 nm ps⁻¹,-0.5655265587444959 nm ps⁻¹,-0.5200117197875043 nm ps⁻¹
-0.10153428001339566 nm ps⁻¹,-0.36190858306213175 nm ps⁻¹,-0.5656061770111541 nm ps⁻¹
-0.22627759450975302 nm ps⁻¹,-0.5174372157210462 nm ps⁻¹,-0.7384525573349413 nm ps⁻¹
0.0397792306846443 nm ps⁻¹,-0.31269091300830054 nm ps⁻¹,-0.6453306143406146 nm ps⁻¹
-0.01257467460677006 nm ps⁻¹,-0.4676521113631528 nm ps⁻¹,-0.7503847983673816 nm ps⁻¹
-0.0783090123155886 nm ps⁻¹,-0.2879189702416172 nm ps⁻¹,-0.519419237998663 nm ps⁻¹
-7.996538557650571e-5 nm ps⁻¹,-0.20534453653094925 nm ps⁻¹,-0.6031326283441294 nm ps⁻¹
0.035595261913314 nm ps⁻¹,-0.44330020559764355 nm ps⁻¹,-0.7296981783201844 nm ps⁻¹
0.10793880599745106 nm ps⁻¹,-0.5025651601162168 nm ps⁻¹,-0.7421416396036253 nm ps⁻¹
-0.07272318963156475 nm ps⁻¹,-0.4387635947869946 nm ps⁻¹,-0.761336202124093 nm ps⁻¹
-0.14880513586246882 nm ps⁻¹,-0.49855232320430204 nm ps⁻¹,-0.8025624272695595 nm ps⁻¹
-0.08573253246973969 nm ps⁻¹,-0.5656324393733333 nm ps⁻¹,-0.5473672625343633 nm ps⁻¹
-0.04886046939686866 nm ps⁻¹,-0.2879950527943084 nm ps⁻¹,-0.4927999698035133 nm ps⁻¹
0.026666507967868687 nm ps⁻¹,-0.2540056247705903 nm ps⁻¹,-0.5409402830025165 nm ps⁻¹
-0.046683525262072145 nm ps⁻¹,-0.4310930845670101 nm ps⁻¹,-0.6851886883756435 nm ps⁻¹
-0.09940900807113931 nm ps⁻¹,-0.4221370938475952 nm ps⁻¹,-0.5322320028012043 nm ps⁻¹
-0.14115689089464076 nm ps⁻¹,-0.5425212064623068 nm ps⁻¹,-0.7789754006079542 nm ps⁻¹
0.047301070060756206 nm ps⁻¹,-0.4587995226584169 nm ps⁻¹,-0.714128756026333 nm ps⁻¹
-0.024213135593365753 nm ps⁻¹,-0.5069133473302726 nm ps⁻¹,-0.8474309667060311 nm ps⁻¹
-0.1850070285828586 nm ps⁻¹,-0.5006864310954381 nm ps⁻¹,-0.5119539399231059 nm ps⁻¹
-0.061856010343367074 nm ps⁻¹,-0.5144094552753548 nm ps⁻¹,-0.762267854135161 nm ps⁻¹
-0.17595251723254765 nm ps⁻¹,-0.36998739918320883 nm ps⁻¹,-0.8011830133368977 nm ps⁻¹
0.02700305055166779 nm ps⁻¹,-0.31298071011130413 nm ps⁻¹,-0.6188755843178134 nm ps⁻¹
-0.06572049451887912 nm ps⁻¹,-0.321514858688617 nm ps⁻¹,-0.531648063618178 nm ps⁻¹
-0.31321555444270605 nm ps⁻¹,-0.4483269238736315 nm ps⁻¹,-0.5856508608213512 nm ps⁻¹
-0.1308708313548934 nm ps⁻¹,-0.29053918221258823 nm ps⁻¹,-0.49753822006188997 nm ps⁻¹
