t,KE,PE,TE
0.0,15.194313837660617,0.0,15.194313837660617
0.010000000000000002,15.189351441661616,0.009924803684123578,15.19927624534574
0.020000000000000004,15.174473600798503,0.03968052044251483,15.214154121241018
0.030000000000000006,15.149708335549098,0.08921110924114185,15.238919444790241
0.04000000000000001,15.115102277014435,0.15842330774745064,15.273525584761884
0.05,15.070720562554406,0.24718684105941122,15.317907403613818
0.06000000000000001,15.01664669003444,0.3553347132126476,15.371981403247087
0.07,14.952982331038829,0.4826635807542896,15.43564591179312
0.08000000000000002,14.879847103506513,0.6289342074721789,15.508781310978693
0.09000000000000001,14.797378304343885,0.7938719991700068,15.591250303513894
0.1,14.705730602666755,0.977167617184285,15.682898219851038
0.11000000000000001,14.605075694419343,1.1784776691475767,15.783553363566918
0.12000000000000002,14.495601919212172,1.397425475313715,15.893027394525888
0.13,14.377513840312329,1.6336019085786464,16.011115748890976
0.14,14.251031788809108,1.8865663061504052,16.13759809495951
0.15000000000000002,14.116391373064644,2.1558474506495147,16.272238823714158
0.16000000000000003,13.973842954643128,2.440944618252106,16.414787572895236
0.17000000000000004,13.823651091993145,2.741328691326778,16.564979783319924
0.18000000000000002,13.666093953235094,3.0564433328617655,16.72253728609686
0.19000000000000003,13.501462699480081,3.385706219828848,16.88716891930893
0.2,13.330060840176937,3.728510332491384,17.058571172668323
