x,y,z
-98542.34072276473 kJ nm⁻¹ mol⁻¹,3.3714424493888007e6 kJ nm⁻¹ mol⁻¹,-397297.4363909893 kJ nm⁻¹ mol⁻¹
-97014.87090606493 kJ nm⁻¹ mol⁻¹,-4.669505109603812e6 kJ nm⁻¹ mol⁻¹,832969.1265847347 kJ nm⁻¹ mol⁻¹
-97465.21296262939 kJ nm⁻¹ mol⁻¹,4.201285939255514e6 kJ nm⁻¹ mol⁻¹,-1.7982614544035795e6 kJ nm⁻¹ mol⁻¹
-97114.48069537245 kJ nm⁻¹ mol⁻¹,519882.9234052881 kJ nm⁻¹ mol⁻¹,-481186.674104621 kJ nm⁻¹ mol⁻¹
-97590.35352833185 kJ nm⁻¹ mol⁻¹,-212116.84157261986 kJ nm⁻¹ mol⁻¹,-484967.5259131245 kJ nm⁻¹ mol⁻¹
-97509.28294334147 kJ nm⁻¹ mol⁻¹,-5.110318460976355e6 kJ nm⁻¹ mol⁻¹,964593.3336409411 kJ nm⁻¹ mol⁻¹
-98692.06746634765 kJ nm⁻¹ mol⁻¹,3.9597477641727226e6 kJ nm⁻¹ mol⁻¹,-346436.7075284834 kJ nm⁻¹ mol⁻¹
-97060.58064645424 kJ nm⁻¹ mol⁻¹,-5.348969855998947e6 kJ nm⁻¹ mol⁻¹,1.0724164341160534e6 kJ nm⁻¹ mol⁻¹
-97163.18327809754 kJ nm⁻¹ mol⁻¹,4.883341671071767e6 kJ nm⁻¹ mol⁻¹,-1.9656167758974617e6 kJ nm⁻¹ mol⁻¹
-97488.91029688629 kJ nm⁻¹ mol⁻¹,632138.9807210973 kJ nm⁻¹ mol⁻¹,-443437.7984069107 kJ nm⁻¹ mol⁻¹
-97386.96978941577 kJ nm⁻¹ mol⁻¹,-210193.67876849353 kJ nm⁻¹ mol⁻¹,-449131.82956771477 kJ nm⁻¹ mol⁻¹
-97195.9991253445 kJ nm⁻¹ mol⁻¹,-5.7926889490359835e6 kJ nm⁻¹ mol⁻¹,1.2025511967477966e6 kJ nm⁻¹ mol⁻¹
-93532.93225765083 kJ nm⁻¹ mol⁻¹,4.54304677695762e6 kJ nm⁻¹ mol⁻¹,-296390.78541718837 kJ nm⁻¹ mol⁻¹
-97993.68621490209 kJ nm⁻¹ mol⁻¹,-6.027723495603867e6 kJ nm⁻¹ mol⁻¹,1.3107068614053268e6 kJ nm⁻¹ mol⁻¹
-96744.0920561155 kJ nm⁻¹ mol⁻¹,5.564756633524806e6 kJ nm⁻¹ mol⁻¹,-2.1332289424642525e6 kJ nm⁻¹ mol⁻¹
-97545.40881185856 kJ nm⁻¹ mol⁻¹,743361.3224171168 kJ nm⁻¹ mol⁻¹,-406060.7116009733 kJ nm⁻¹ mol⁻¹
-97647.76706703112 kJ nm⁻¹ mol⁻¹,-208280.33823932958 kJ nm⁻¹ mol⁻¹,-413695.12787658843 kJ nm⁻¹ mol⁻¹
-97312.87965934823 kJ nm⁻¹ mol⁻¹,-6.467771651909608e6 kJ nm⁻¹ mol⁻¹,1.4395205797864671e6 kJ nm⁻¹ mol⁻¹
-99186.46585960349 kJ nm⁻¹ mol⁻¹,5.1258232482266305e6 kJ nm⁻¹ mol⁻¹,-246218.45527017952 kJ nm⁻¹ mol⁻¹
-94615.7678553199 kJ nm⁻¹ mol⁻¹,-6.7068644104027385e6 kJ nm⁻¹ mol⁻¹,1.5489343704717413e6 kJ nm⁻¹ mol⁻¹
-97347.43941976223 kJ nm⁻¹ mol⁻¹,6.24450467525859e6 kJ nm⁻¹ mol⁻¹,-2.293507569951102e6 kJ nm⁻¹ mol⁻¹
-96757.40844992048 kJ nm⁻¹ mol⁻¹,854790.9064756328 kJ nm⁻¹ mol⁻¹,-369513.1967497181 kJ nm⁻¹ mol⁻¹
-97048.77069667925 kJ nm⁻¹ mol⁻¹,-205139.59324072086 kJ nm⁻¹ mol⁻¹,-378778.3205531 kJ nm⁻¹ mol⁻¹
-98058.59613053588 kJ nm⁻¹ mol⁻¹,-7.15138206646714e6 kJ nm⁻¹ mol⁻¹,1.6773134025319975e6 kJ nm⁻¹ mol⁻¹
1.9138630258197992e6 kJ nm⁻¹ mol⁻¹,2.697323034804088e6 kJ nm⁻¹ mol⁻¹,-268835.025794221 kJ nm⁻¹ mol⁻¹
1.9734096215672106e6 kJ nm⁻¹ mol⁻¹,-4.370813332558708e6 kJ nm⁻¹ mol⁻¹,1.8597189794854026e6 kJ nm⁻¹ mol⁻¹
-32833.76742735448 kJ nm⁻¹ mol⁻¹,6.926430759923714e6 kJ nm⁻¹ mol⁻¹,-2.462444082517875e6 kJ nm⁻¹ mol⁻¹
546279.5578082857 kJ nm⁻¹ mol⁻¹,903036.983829931 kJ nm⁻¹ mol⁻¹,-1.5064531537600826e6 kJ nm⁻¹ mol⁻¹
-24053.315675859005 kJ nm⁻¹ mol⁻¹,-204862.6306989104 kJ nm⁻¹ mol⁻¹,-360395.51132461143 kJ nm⁻¹ mol⁻¹
-7.199212482102315e6 kJ nm⁻¹ mol⁻¹,424314.6663671616 kJ nm⁻¹ mol⁻¹,1.8566304614714177e6 kJ nm⁻¹ mol⁻¹
2.2997768414651467e6 kJ nm⁻¹ mol⁻¹,445508.07374793425 kJ nm⁻¹ mol⁻¹,1.9199100762604924e6 kJ nm⁻¹ mol⁻¹
3.1928650938312677e6 kJ nm⁻¹ mol⁻¹,-182177.05551622208 kJ nm⁻¹ mol⁻¹,-287897.35874061164 kJ nm⁻¹ mol⁻¹
-8.375898033544775e6 kJ nm⁻¹ mol⁻¹,-188072.8602784181 kJ nm⁻¹ mol⁻¹,-289746.5179387196 kJ nm⁻¹ mol⁻¹
3.217607618245456e6 kJ nm⁻¹ mol⁻¹,-182536.74689465936 kJ nm⁻¹ mol⁻¹,-286258.6795123615 kJ nm⁻¹ mol⁻¹
-8.685156213896312e6 kJ nm⁻¹ mol⁻¹,-185802.13894012314 kJ nm⁻¹ mol⁻¹,-288828.37559883954 kJ nm⁻¹ mol⁻¹
4.963167377823011e6 kJ nm⁻¹ mol⁻¹,-188777.24406420358 kJ nm⁻¹ mol⁻¹,-290276.0002809517 kJ nm⁻¹ mol⁻¹
-161870.43225688115 kJ nm⁻¹ mol⁻¹,-190122.9972465122 kJ nm⁻¹ mol⁻¹,-289353.37825103756 kJ nm⁻¹ mol⁻¹
-162623.79376697412 kJ nm⁻¹ mol⁻¹,-189269.47058809997 kJ nm⁻¹ mol⁻¹,-293459.56932316656 kJ nm⁻¹ mol⁻¹
5.24482094645437e6 kJ nm⁻¹ mol⁻¹,-189376.60714788875 kJ nm⁻¹ mol⁻¹,-289531.3018172599 kJ nm⁻¹ mol⁻¹
-90532.27908589045 kJ nm⁻¹ mol⁻¹,-191247.3346563129 kJ nm⁻¹ mol⁻¹,-292415.7909359902 kJ nm⁻¹ mol⁻¹
5.458463882967833e6 kJ nm⁻¹ mol⁻¹,-189281.5128861479 kJ nm⁻¹ mol⁻¹,-293131.6248842638 kJ nm⁻¹ mol⁻¹
-19997.74985411654 kJ nm⁻¹ mol⁻¹,-188862.59740673826 kJ nm⁻¹ mol⁻¹,-291314.22592089936 kJ nm⁻¹ mol⁻¹
-23342.690435112643 kJ nm⁻¹ mol⁻¹,-188420.54136810912 kJ nm⁻¹ mol⁻¹,-291788.4326360829 kJ nm⁻¹ mol⁻¹
-24171.999400525136 kJ nm⁻¹ mol⁻¹,-185355.3809119073 kJ nm⁻¹ mol⁻¹,-291928.8884247408 kJ nm⁻¹ mol⁻¹
-18566.429608310005 kJ nm⁻¹ mol⁻¹,-188504.78040747397 kJ nm⁻¹ mol⁻¹,-291271.0447675101 kJ nm⁻¹ mol⁻¹
