Fx,Fy,Fz
-78.11012397886685,-146.59953427606231,-129.0234576412326
-6.489835249949076,67.48594081986612,-58.11720330544763
29.34292894493276,-512.8315148261865,-85.1113671658967
-625.1358457652709,63.50272146502513,-230.58493338139095
-50.706118869196615,-268.9559629944009,-461.169393003396
-835.0258773840782,-159.40848795011038,-192.71926278503452
239.24474837739876,-957.1600986769794,43.646858089221986
-189.43632624699342,506.5017936935296,-140.21667905023747
-189.46688201505344,-1201.3505003114235,147.3973741949415
524.9844141041549,849.1574433292393,-460.6382462338605
-118.05321236794825,4.545293718440291,-553.8770129638536
739.2779457214737,-159.810897095671,-193.013934380591
-46.57753466142771,-1640.6814956321823,246.14815513957845
-46.491625579590725,1091.2701230270065,-126.2461589379321
-46.536585567526046,-1884.4162989798267,349.9657546184842
-46.241346712905965,1532.0319088639822,-663.1376304762929
-46.60327805153646,102.87072381948049,-770.0400335980892
-46.46183225860964,-159.3771512830227,-193.00446180504528
-46.438938641791225,-2323.753383606468,448.48999720029394
-46.36197969653265,1675.420184262279,-112.13295226968533
-46.45072711660008,-2567.1685943486555,552.5488028341352
-46.47672756156517,2214.0931463385778,-865.3659099046237
-46.51630340874788,201.08060110263338,-986.0274441865222
-46.385766834378586,-159.24935432348903,-192.97652675968737
-46.56033014907774,-3006.6328039836694,650.6425042617695
-47.00153198703116,2260.004069129869,-97.88109573779143
-46.43560135912004,-3249.582501514155,755.2750947465848
-46.424525943567794,2895.5451996534107,-1067.4469076449352
-46.45702767829963,299.33235903471416,-1201.7231550702425
-46.756548847390796,-159.09283202321924,-193.22662915600776
-46.47634864200948,-3690.655689738656,852.7211025204035
-47.06368638080998,2845.7342898555944,-83.53129734714742
-46.07532477858115,-3931.54367952681,958.3345249162554
-46.32145355431945,3576.893404280219,-1270.591553405479
-46.40616405509574,397.60537202079564,-1417.2540742372694
-46.473662803223405,-159.07701438222188,-193.15272828394532
-46.58974148460948,-4374.795552443776,1054.558243119891
-45.73928419661952,3429.792749043764,-69.2553757753555
-46.69840995189832,-4613.302936074607,1160.9630059582387
