x,y,z
-86596.71020816876 kJ nm⁻¹ mol⁻¹,3.3814111630983134e6 kJ nm⁻¹ mol⁻¹,-234605.35551725476 kJ nm⁻¹ mol⁻¹
-88819.99009548129 kJ nm⁻¹ mol⁻¹,-4.659962769287266e6 kJ nm⁻¹ mol⁻¹,995055.7828958647 kJ nm⁻¹ mol⁻¹
-88060.5367476764 kJ nm⁻¹ mol⁻¹,4.210346474284107e6 kJ nm⁻¹ mol⁻¹,-1.6396659411670791e6 kJ nm⁻¹ mol⁻¹
-88864.35939786052 kJ nm⁻¹ mol⁻¹,448270.214484644 kJ nm⁻¹ mol⁻¹,-1.797204263445812e6 kJ nm⁻¹ mol⁻¹
-88618.79519722842 kJ nm⁻¹ mol⁻¹,-205913.45523097087 kJ nm⁻¹ mol⁻¹,-358289.5812628057 kJ nm⁻¹ mol⁻¹
-88010.43116502282 kJ nm⁻¹ mol⁻¹,-5.101103824024764e6 kJ nm⁻¹ mol⁻¹,1.0908129969461833e6 kJ nm⁻¹ mol⁻¹
-90236.95094997187 kJ nm⁻¹ mol⁻¹,3.9637892630769587e6 kJ nm⁻¹ mol⁻¹,-220573.42474234386 kJ nm⁻¹ mol⁻¹
-88024.88078244076 kJ nm⁻¹ mol⁻¹,-5.341100418455448e6 kJ nm⁻¹ mol⁻¹,1.1975274526565892e6 kJ nm⁻¹ mol⁻¹
-88208.04366632151 kJ nm⁻¹ mol⁻¹,4.889208580226136e6 kJ nm⁻¹ mol⁻¹,-1.8384467472515197e6 kJ nm⁻¹ mol⁻¹
-88297.80097764336 kJ nm⁻¹ mol⁻¹,546097.3618522536 kJ nm⁻¹ mol⁻¹,-2.0127699343710362e6 kJ nm⁻¹ mol⁻¹
-88636.0386432757 kJ nm⁻¹ mol⁻¹,-205003.454833049 kJ nm⁻¹ mol⁻¹,-359097.43324105395 kJ nm⁻¹ mol⁻¹
-88483.11596626298 kJ nm⁻¹ mol⁻¹,-5.78548079935852e6 kJ nm⁻¹ mol⁻¹,1.29275664793768e6 kJ nm⁻¹ mol⁻¹
-87557.24169531236 kJ nm⁻¹ mol⁻¹,4.549060849832814e6 kJ nm⁻¹ mol⁻¹,-205882.13510093422 kJ nm⁻¹ mol⁻¹
-88476.96943257218 kJ nm⁻¹ mol⁻¹,-6.0224119214078e6 kJ nm⁻¹ mol⁻¹,1.4007410733285358e6 kJ nm⁻¹ mol⁻¹
-88526.37394776141 kJ nm⁻¹ mol⁻¹,5.568970799318279e6 kJ nm⁻¹ mol⁻¹,-2.042491235747001e6 kJ nm⁻¹ mol⁻¹
-88791.87106816233 kJ nm⁻¹ mol⁻¹,644263.4520470083 kJ nm⁻¹ mol⁻¹,-2.22765814914614e6 kJ nm⁻¹ mol⁻¹
-88306.40828862983 kJ nm⁻¹ mol⁻¹,-205267.5334804935 kJ nm⁻¹ mol⁻¹,-359404.102043458 kJ nm⁻¹ mol⁻¹
-88611.15692366405 kJ nm⁻¹ mol⁻¹,-6.469009260794086e6 kJ nm⁻¹ mol⁻¹,1.4937395851074073e6 kJ nm⁻¹ mol⁻¹
-91106.49734040159 kJ nm⁻¹ mol⁻¹,5.136639433049507e6 kJ nm⁻¹ mol⁻¹,-191364.60262533027 kJ nm⁻¹ mol⁻¹
-85666.84114650033 kJ nm⁻¹ mol⁻¹,-6.702965912671614e6 kJ nm⁻¹ mol⁻¹,1.603996603735851e6 kJ nm⁻¹ mol⁻¹
-87669.813839339 kJ nm⁻¹ mol⁻¹,6.24803936676637e6 kJ nm⁻¹ mol⁻¹,-2.244407768247877e6 kJ nm⁻¹ mol⁻¹
-87529.24822305598 kJ nm⁻¹ mol⁻¹,742271.0113462852 kJ nm⁻¹ mol⁻¹,-2.4414299813209195e6 kJ nm⁻¹ mol⁻¹
-88538.00869312747 kJ nm⁻¹ mol⁻¹,-204628.8684490266 kJ nm⁻¹ mol⁻¹,-360145.9650607456 kJ nm⁻¹ mol⁻¹
-89328.16865569128 kJ nm⁻¹ mol⁻¹,-7.157333334684709e6 kJ nm⁻¹ mol⁻¹,1.6952568266462123e6 kJ nm⁻¹ mol⁻¹
1.9258535982914194e6 kJ nm⁻¹ mol⁻¹,2.7025203813440925e6 kJ nm⁻¹ mol⁻¹,-249983.04401129336 kJ nm⁻¹ mol⁻¹
1.9815799342117487e6 kJ nm⁻¹ mol⁻¹,-4.368903527495278e6 kJ nm⁻¹ mol⁻¹,1.8782479007753225e6 kJ nm⁻¹ mol⁻¹
-24449.42764232407 kJ nm⁻¹ mol⁻¹,6.927524950896663e6 kJ nm⁻¹ mol⁻¹,-2.451321010516798e6 kJ nm⁻¹ mol⁻¹
-24224.53788368061 kJ nm⁻¹ mol⁻¹,839838.4982945356 kJ nm⁻¹ mol⁻¹,-2.6602535534258643e6 kJ nm⁻¹ mol⁻¹
-23875.929098144294 kJ nm⁻¹ mol⁻¹,-205237.48425492298 kJ nm⁻¹ mol⁻¹,-359714.1812436987 kJ nm⁻¹ mol⁻¹
-7.209749239686589e6 kJ nm⁻¹ mol⁻¹,423846.63502275886 kJ nm⁻¹ mol⁻¹,1.8609810894191705e6 kJ nm⁻¹ mol⁻¹
