x,y,z
0.8856218042884795 nm,0.8521664716487964 nm,0.2409496800941942 nm
1.1808578196651556 nm,0.5112585991052606 nm,0.7231140360939367 nm
1.3284774787736027 nm,0.7670082542822696 nm,0.7231304888327675 nm
1.3285004288734097 nm,0.4261296158047131 nm,0.48207237187291296 nm
1.180869616425019 nm,0.681743265649323 nm,0.48202875964607594 nm
1.3284623402853881 nm,0.5965240652084278 nm,0.24103111869103455 nm
1.1808411611540721 nm,0.8521533079581721 nm,0.24095683164551024 nm
1.476115187477428 nm,0.5112906402718668 nm,0.7230638480612158 nm
1.6237021269605902 nm,0.7669422753785621 nm,0.723024040150805 nm
1.6236535742099454 nm,0.4260548934730431 nm,0.4820814121609469 nm
1.4760820735637696 nm,0.6817180373401273 nm,0.48200568144304534 nm
1.623656331232885 nm,0.5965398681718523 nm,0.24095007828163026 nm
1.4761088830650775 nm,0.852222427787175 nm,0.24100501051174686 nm
1.7712981156324301 nm,0.5113319001235589 nm,0.7231187150624037 nm
1.918831946772545 nm,0.7669599465883503 nm,0.723102489096127 nm
1.9188871526440943 nm,0.42611767930881367 nm,0.4820857261680351 nm
1.7713156104093035 nm,0.6817375140254001 nm,0.48200045037368766 nm
1.918885569974658 nm,0.5965447329326273 nm,0.2410085748416625 nm
1.771375924258566 nm,0.8521712214311835 nm,0.24107677399984884 nm
2.0665048494209515 nm,0.5113153454001496 nm,0.7230973432459598 nm
2.2141963123472403 nm,0.7670164765369631 nm,0.7230189095071152 nm
2.214122053111649 nm,0.42607506076836765 nm,0.48203237411150024 nm
2.066504487966982 nm,0.6817780352830098 nm,0.4820770271396015 nm
2.214148841762366 nm,0.5964919868550134 nm,0.240985281310635 nm
2.0665238195958584 nm,0.8522063310905671 nm,0.24104008345895742 nm
2.3617206783148883 nm,0.5112750371638735 nm,0.7230842634000386 nm
2.5093457329005626 nm,0.7670052446841669 nm,0.7230417409908871 nm
2.5093220378357226 nm,0.4261015968574114 nm,0.4820435895223981 nm
2.3616996894143685 nm,0.6817394817555903 nm,0.48196004537074133 nm
2.5093061737119777 nm,0.5964667486814424 nm,0.2409915491313318 nm
2.3617123768983386 nm,0.8521415525579477 nm,0.24101749894124988 nm
2.6569716031108146 nm,0.5112649473753673 nm,0.7231161236059155 nm
2.8045489732578064 nm,0.7670253626589756 nm,0.7230971670886328 nm
2.804597640718423 nm,0.4260344867711194 nm,0.4820878238870487 nm
2.6569241117939395 nm,0.6817156125092503 nm,0.48205410188415504 nm
2.8046396947693752 nm,0.5965788678399927 nm,0.24098024709784546 nm
2.657004258070923 nm,0.8522050265192734 nm,0.24105240603780606 nm
2.9521716228522035 nm,0.5113142770214519 nm,0.723109805975696 nm
3.099779694349846 nm,0.7669895016616345 nm,0.7230666532123331 nm
3.09981908766766 nm,0.4260649340965021 nm,0.48208651587277623 nm
2.952174866886742 nm,0.6817705854553969 nm,0.48207637766446854 nm
3.099807760918025 nm,0.5964947151523075 nm,0.24101883792210319 nm
2.952198270430012 nm,0.8522164692728632 nm,0.2410203656888455 nm
