x,y,z
0.8856087183965476 nm,0.8521309200941517 nm,0.24089155319245592 nm
1.1808510451246585 nm,0.5112162260833604 nm,0.7230814970938341 nm
1.3284744010071277 nm,0.766993845998646 nm,0.7231034235986686 nm
1.3285049655372152 nm,0.4261182467808915 nm,0.4820405201095784 nm
1.1808667611641082 nm,0.6817145021045853 nm,0.4819824026779916 nm
1.328454213044899 nm,0.596496186949618 nm,0.24100009093642907 nm
1.1808288364367414 nm,0.8521133635396876 nm,0.2409010775920969 nm
1.4761217938678395 nm,0.51125893465928 nm,0.7230146017708138 nm
1.6237015475858314 nm,0.7669059151984879 nm,0.7229615002677559 nm
1.6236368605545817 nm,0.4260186945832536 nm,0.4820525306437592 nm
1.4760776872010197 nm,0.6816808954816281 nm,0.48195162543320225 nm
1.6236405250360606 nm,0.59651723415298 nm,0.24089208623574376 nm
1.4761134118676633 nm,0.8522054859121259 nm,0.24096529489027582 nm
1.7712933699599873 nm,0.5113139245325087 nm,0.7230877401000086 nm
1.9188023585610308 nm,0.7669294620438237 nm,0.7230661107525851 nm
1.9188759008584144 nm,0.4261024228979924 nm,0.4820582878083645 nm
1.7713166786168202 nm,0.6817068360772933 nm,0.48194465024908245 nm
1.918873821292424 nm,0.5965237123430883 nm,0.2409700525322147 nm
1.7713970880608383 nm,0.8521372522675167 nm,0.24106094543610426 nm
2.0664966925542907 nm,0.5112919023255103 nm,0.723059246711537 nm
2.2142157228239117 nm,0.7670048259718046 nm,0.7229546855798931 nm
2.2141167174364837 nm,0.4260456665971899 nm,0.4819871876617999 nm
2.066496175799035 nm,0.681760846566076 nm,0.48204672196513576 nm
2.214152424604587 nm,0.5964534165737512 nm,0.24093900173737448 nm
2.066521956062059 nm,0.8521840261175613 nm,0.2410120516487799 nm
2.3617120539250362 nm,0.5112381954199363 nm,0.7230418000329465 nm
2.509342626867312 nm,0.7669898308887579 nm,0.7229851096886254 nm
2.509311034185104 nm,0.4260810922307534 nm,0.48200214919690326 nm
2.361684099722925 nm,0.6817094641387245 nm,0.4818908052081258 nm
2.5092899430387625 nm,0.596419801694195 nm,0.24094734826535935 nm
2.3617010250585397 nm,0.8520977194976469 nm,0.24098194050403549 nm
2.656974244143 nm,0.511224742905548 nm,0.7230842853792532 nm
2.804541264534402 nm,0.7670166791438127 nm,0.7230590088698776 nm
2.804606137247376 nm,0.42599172718138156 nm,0.4820610649415832 nm
2.656910978994558 nm,0.6816776438731367 nm,0.48201615803564374 nm
2.8046621657232214 nm,0.5965692274073315 nm,0.24093232285454524 nm
2.6570177762412754 nm,0.8521822882283072 nm,0.24102847641648883 nm
2.952168659942135 nm,0.5112905044935283 nm,0.7230758647848925 nm
3.099776523453871 nm,0.7669688850212122 nm,0.7230183344246038 nm
3.0998291657291954 nm,0.4260321158034859 nm,0.48205937781155417 nm
2.952172923387309 nm,0.6817509330784723 nm,0.48204585457549093 nm
3.0998139612328233 nm,0.596457086924976 nm,0.24098373833638675 nm
2.9522041368704777 nm,0.8521975586716736 nm,0.2409857842203662 nm
3.242942930620247 nm,1.0228890042222205 nm,0.7244051925322819 nm
0.14903538273331163 nm,1.2786469097756719 nm,0.7244565205459841 nm
0.14951091078803871 nm,0.9374028909522343 nm,0.4820757920396732 nm
3.2425059465661494 nm,1.1929985062843984 nm,0.48202518347440126 nm
0.14931778002224502 nm,1.108578180732862 nm,0.24095396815540943 nm
3.244662672326492 nm,1.3635015502823522 nm,0.24095243560241972 nm
0.29816639703780273 nm,1.0226646427895831 nm,0.7230791632721489 nm
0.4427633557039646 nm,1.2782018799918269 nm,0.723093215687372 nm
0.4427910791230054 nm,0.937384240923689 nm,0.48208556994326557 nm
0.2982632115175094 nm,1.193051372333955 nm,0.48204576793244097 nm
0.4428178536461199 nm,1.107855839884699 nm,0.24101210437395448 nm
0.296707239005407 nm,1.3635516105678023 nm,0.2410008694374106 nm
0.5904260112963503 nm,1.0225667348244307 nm,0.7231289602023128 nm
0.7380723793919572 nm,1.2782966486362668 nm,0.7231630413859897 nm
0.7379962259403066 nm,0.937331195349766 nm,0.48197904682456527 nm
0.5905017237142112 nm,1.193045805738336 nm,0.4821255505692832 nm
0.7379706782577226 nm,1.1079233829141406 nm,0.2409837673538585 nm
0.5904426156553758 nm,1.3634231012764655 nm,0.24103630650335428 nm
0.885651744646326 nm,1.0225884426613732 nm,0.7230629625509102 nm
1.0332329166696688 nm,1.2782386776770214 nm,0.7230963240226024 nm
1.0332861539955231 nm,0.9373960390116424 nm,0.48199889290443415 nm
0.8855933722477082 nm,1.193050888700818 nm,0.4820534441449703 nm
1.0332555786237465 nm,1.1078425025458807 nm,0.24103517775959205 nm
0.8856868034914973 nm,1.3635839856924235 nm,0.2409895575405392 nm
1.1807713382057874 nm,1.0225982524743151 nm,0.7230369728655867 nm
1.3284177198024731 nm,1.2783270334885921 nm,0.7230157469706229 nm
1.3284232025260394 nm,0.9373536097661512 nm,0.4819793216173623 nm
1.1808053609003801 nm,1.1930305505642609 nm,0.4820542567159651 nm
1.3285114464681913 nm,1.1078763949507422 nm,0.24099870695655923 nm
1.1809814166757124 nm,1.3635106229360365 nm,0.24097534789432298 nm
1.476073906495924 nm,1.0225809929629333 nm,0.7230376552366234 nm
1.623733643533295 nm,1.278298068682162 nm,0.7231534299035002 nm
1.623670425439682 nm,0.937436873175919 nm,0.48194893856853444 nm
1.4761685814350807 nm,1.19305052108072 nm,0.48204835342519553 nm
1.6236482229430447 nm,1.1078335637662013 nm,0.24097843717235157 nm
1.4761037366101255 nm,1.363504507040951 nm,0.2409834884987601 nm
1.7713280634745026 nm,1.022526955109723 nm,0.7230966675488993 nm
1.9189615769800445 nm,1.2783086724638897 nm,0.72310558930595 nm
1.918903582929228 nm,0.9374339578142618 nm,0.4821013289478615 nm
1.7712609580074266 nm,1.1930635765085522 nm,0.48198845173562455 nm
1.9189248483421146 nm,1.1078469598658882 nm,0.2410065186397403 nm
1.77128413484556 nm,1.3635176609982222 nm,0.24101465500158117 nm
2.0664254954909604 nm,1.0226409807177457 nm,0.7230128131588801 nm
2.214127162370017 nm,1.2783643076079718 nm,0.7231439842406382 nm
2.2140447207847997 nm,0.9373743727528009 nm,0.48204369648599327 nm
2.066601754127326 nm,1.193135902883499 nm,0.48202331853298697 nm
2.2140528309364025 nm,1.1078498325759323 nm,0.24095026462851088 nm
2.0663921480033838 nm,1.3634888806838315 nm,0.2409974653995123 nm
2.36175248586096 nm,1.022662971664137 nm,0.7230424561330467 nm
2.5093797960936826 nm,1.2782951714600035 nm,0.72308389267643 nm
2.5092973727667456 nm,0.9374013957106426 nm,0.4820267988610325 nm
2.3616733900845697 nm,1.1929909967670151 nm,0.4820417163723241 nm
2.509376613456648 nm,1.1078230768118549 nm,0.24100405867236085 nm
2.3617383459206747 nm,1.3635310130127523 nm,0.24099943997198983 nm
2.6569133354656107 nm,1.0226068228837277 nm,0.7230356828590814 nm
2.8045611616150112 nm,1.2781950929483745 nm,0.7230647879259434 nm
2.804497225655032 nm,0.9374241581577119 nm,0.4820497142440872 nm
2.6569048781849713 nm,1.1929929490272346 nm,0.4819422916590867 nm
2.804531010085935 nm,1.107888313976966 nm,0.2409643481185925 nm
2.657022241934836 nm,1.363532160277158 nm,0.24097429514699492 nm
2.9522557357728054 nm,1.0226950706947326 nm,0.7230999338363607 nm
3.0997174901314857 nm,1.2782330848325483 nm,0.723145965970704 nm
3.0998268662184767 nm,0.9374231933007233 nm,0.48202909332112265 nm
2.9520994061943875 nm,1.1931148297989107 nm,0.48207719649433706 nm
3.0997247853950833 nm,1.10776626682927 nm,0.2409821265708565 nm
2.9522238942219765 nm,1.363505869457435 nm,0.2410602933565673 nm
3.240857549955739 nm,1.5345291293051666 nm,0.7251200555805867 nm
0.14933252325936225 nm,1.7913255437961348 nm,0.7250158310969373 nm
0.15019214171383555 nm,1.4484685900459582 nm,0.48108636450405656 nm
3.23995818695059 nm,1.7043947482161244 nm,0.4820942613965351 nm
0.15018257373138466 nm,1.6181594580724863 nm,0.2410312998295596 nm
3.239834472298078 nm,1.8748775202474244 nm,0.24098325011364594 nm
0.2995220260213633 nm,1.5339710732491918 nm,0.7230798839079666 nm
0.4426817379508422 nm,1.7896288120564678 nm,0.7230829377581993 nm
