r,v,Nv,Nvib,Et_i,θi,θorient,vib_phase,xi,yi,mN,mO
1.158084161,0.172436865,,,,,,,,,,
1.176063614,0.150754957,,,,,,,,,,
1.190555819,0.11014612,,,,,,,,,,
1.199847828,5.73E-02,,,,,,,,,,
1.202948407,-1.40E-03,,,,,,,,,,
1.199544453,-6.00E-02,,,,,,,,,,
1.18998017,-0.112381859,,,,,,,,,,
1.175279777,-0.152251289,,,,,,,,,,
1.157190865,-0.172881222,,,,,,,,,,
1.138176609,-0.168216599,,,,,,,,,,
1.121236034,-0.135032954,,,,,,,,,,
1.109431238,-7.59E-02,,,,,,,,,,
1.105132242,-8.40E-04,,,,,,,,,,
1.109253117,7.44E-02,,,,,,,,,,
1.120917114,0.134009325,,,,,,,,,,
1.137778292,0.167805314,,,,,,,,,,
1.156780783,0.173066019,,,,,,,,,,
1.174918027,0.152922764,,,,,,,,,,
1.189712535,0.113397165,,,,,,,,,,
1.199400835,6.12E-02,,,,,,,,,,
1.202943559,2.69E-03,,,,,,,,,,
1.199982234,-5.61E-02,,,,,,,,,,
1.190815726,-0.109112559,,,,,,,,,,
1.176420191,-0.150055221,,,,,,,,,,
1.158492707,-0.172214535,,,,,,,,,,
1.139450385,-0.169435795,,,,,,,,,,
1.122266831,-0.138207763,,,,,,,,,,
1.110021569,-8.06E-02,,,,,,,,,,
1.105158752,-6.19E-03,,,,,,,,,,
1.108710086,6.96E-02,,,,,,,,,,
1.119918613,0.130670263,,,,,,,,,,
1.136517494,0.166406715,,,,,,,,,,
1.155473112,0.173574599,,,,,,,,,,
1.173756429,0.154999204,,,,,,,,,,
1.188844946,0.116588706,,,,,,,,,,
1.19892467,6.50E-02,,,,,,,,,,
1.202907864,6.78E-03,,,,,,,,,,
1.200390563,-5.22E-02,,,,,,,,,,
1.191626401,-0.105786565,,,,,,,,,,
1.177543702,-0.147770658,,,,,,,,,,
1.159789072,-0.171429567,,,,,,,,,,
1.140732845,-0.170518948,,,,,,,,,,
1.1233211,-0.141255357,,,,,,,,,,
1.110647199,-8.52E-02,,,,,,,,,,
1.105225579,-1.15E-02,,,,,,,,,,
1.108203688,6.47E-02,,,,,,,,,,
1.118945767,0.127208693,,,,,,,,,,
1.135267763,0.164871314,,,,,,,,,,
1.154162064,0.173960932,,,,,,,,,,
1.172579516,0.156982106,,,,,,,,,,
1.187953511,0.119718595,,,,,,,,,,
1.198419561,6.89E-02,,,,,,,,,,
1.202841336,1.09E-02,,,,,,,,,,
1.200769247,-4.82E-02,,,,,,,,,,
1.192411776,-0.102406005,,,,,,,,,,
1.17864965,-0.145399791,,,,,,,,,,
1.161079075,-0.170528127,,,,,,,,,,
1.142022965,-0.171466598,,,,,,,,,,
1.124397877,-0.144174002,,,,,,,,,,
1.111307497,-8.98E-02,,,,,,,,,,
1.105332651,-1.69E-02,,,,,,,,,,
1.107734444,5.97E-02,,,,,,,,,,
1.117999492,0.123626949,,,,,,,,,,
1.134030132,0.16319901,,,,,,,,,,
1.152848567,0.174223404,,,,,,,,,,
1.171388004,0.158869309,,,,,,,,,,
1.187038702,0.122784671,,,,,,,,,,
