x,y,z,N,dnn,a,aPBCx,aPBCy,aPBCz,α,β,γ
0,0,0,528,2.952170811,4.174999999,32.47387893,30.67985903,723.131212,-4.94,17.15,19.4
1.476085406,2.556654919,0,,,,,,,,,
1.476085406,-0.852218306,-2.410437374,,,,,,,,,
0,1.704436613,-2.410437374,,,,,,,,,
1.476085406,0.852218306,-4.820874748,,,,,,,,,
0,3.408873225,-4.820874748,,,,,,,,,
2.952170811,0,0,,,,,,,,,
4.428256217,2.556654919,0,,,,,,,,,
4.428256217,-0.852218306,-2.410437374,,,,,,,,,
2.952170811,1.704436613,-2.410437374,,,,,,,,,
4.428256217,0.852218306,-4.820874748,,,,,,,,,
2.952170811,3.408873225,-4.820874748,,,,,,,,,
5.904341623,0,0,,,,,,,,,
7.380427029,2.556654919,0,,,,,,,,,
7.380427029,-0.852218306,-2.410437374,,,,,,,,,
5.904341623,1.704436613,-2.410437374,,,,,,,,,
7.380427029,0.852218306,-4.820874748,,,,,,,,,
5.904341623,3.408873225,-4.820874748,,,,,,,,,
8.856512434,0,0,,,,,,,,,
10.33259784,2.556654919,0,,,,,,,,,
10.33259784,-0.852218306,-2.410437374,,,,,,,,,
8.856512434,1.704436613,-2.410437374,,,,,,,,,
10.33259784,0.852218306,-4.820874748,,,,,,,,,
8.856512434,3.408873225,-4.820874748,,,,,,,,,
11.80868325,0,0,,,,,,,,,
13.28476865,2.556654919,0,,,,,,,,,
13.28476865,-0.852218306,-2.410437374,,,,,,,,,
11.80868325,1.704436613,-2.410437374,,,,,,,,,
13.28476865,0.852218306,-4.820874748,,,,,,,,,
11.80868325,3.408873225,-4.820874748,,,,,,,,,
14.76085406,0,0,,,,,,,,,
16.23693946,2.556654919,0,,,,,,,,,
16.23693946,-0.852218306,-2.410437374,,,,,,,,,
14.76085406,1.704436613,-2.410437374,,,,,,,,,
16.23693946,0.852218306,-4.820874748,,,,,,,,,
14.76085406,3.408873225,-4.820874748,,,,,,,,,
17.71302487,0,0,,,,,,,,,
19.18911027,2.556654919,0,,,,,,,,,
19.18911027,-0.852218306,-2.410437374,,,,,,,,,
17.71302487,1.704436613,-2.410437374,,,,,,,,,
19.18911027,0.852218306,-4.820874748,,,,,,,,,
17.71302487,3.408873225,-4.820874748,,,,,,,,,
20.66519568,0,0,,,,,,,,,
22.14128109,2.556654919,0,,,,,,,,,
22.14128109,-0.852218306,-2.410437374,,,,,,,,,
20.66519568,1.704436613,-2.410437374,,,,,,,,,
22.14128109,0.852218306,-4.820874748,,,,,,,,,
20.66519568,3.408873225,-4.820874748,,,,,,,,,
23.61736649,0,0,,,,,,,,,
25.0934519,2.556654919,0,,,,,,,,,
25.0934519,-0.852218306,-2.410437374,,,,,,,,,
23.61736649,1.704436613,-2.410437374,,,,,,,,,
25.0934519,0.852218306,-4.820874748,,,,,,,,,
23.61736649,3.408873225,-4.820874748,,,,,,,,,
26.5695373,0,0,,,,,,,,,
28.04562271,2.556654919,0,,,,,,,,,
28.04562271,-0.852218306,-2.410437374,,,,,,,,,
26.5695373,1.704436613,-2.410437374,,,,,,,,,
28.04562271,0.852218306,-4.820874748,,,,,,,,,
26.5695373,3.408873225,-4.820874748,,,,,,,,,
29.52170811,0,0,,,,,,,,,
30.99779352,2.556654919,0,,,,,,,,,
30.99779352,-0.852218306,-2.410437374,,,,,,,,,
29.52170811,1.704436613,-2.410437374,,,,,,,,,
30.99779352,0.852218306,-4.820874748,,,,,,,,,
29.52170811,3.408873225,-4.820874748,,,,,,,,,
0,5.113309838,0,,,,,,,,,
1.476085406,7.669964757,0,,,,,,,,,
1.476085406,4.261091532,-2.410437374,,,,,,,,,
0,6.817746451,-2.410437374,,,,,,,,,
1.476085406,5.965528144,-4.820874748,,,,,,,,,
0,8.522183063,-4.820874748,,,,,,,,,
2.952170811,5.113309838,0,,,,,,,,,
4.428256217,7.669964757,0,,,,,,,,,
4.428256217,4.261091532,-2.410437374,,,,,,,,,
2.952170811,6.817746451,-2.410437374,,,,,,,,,
4.428256217,5.965528144,-4.820874748,,,,,,,,,
2.952170811,8.522183063,-4.820874748,,,,,,,,,
5.904341623,5.113309838,0,,,,,,,,,
7.380427029,7.669964757,0,,,,,,,,,
7.380427029,4.261091532,-2.410437374,,,,,,,,,
5.904341623,6.817746451,-2.410437374,,,,,,,,,
7.380427029,5.965528144,-4.820874748,,,,,,,,,
5.904341623,8.522183063,-4.820874748,,,,,,,,,
8.856512434,5.113309838,0,,,,,,,,,
10.33259784,7.669964757,0,,,,,,,,,
10.33259784,4.261091532,-2.410437374,,,,,,,,,
8.856512434,6.817746451,-2.410437374,,,,,,,,,
10.33259784,5.965528144,-4.820874748,,,,,,,,,
8.856512434,8.522183063,-4.820874748,,,,,,,,,
11.80868325,5.113309838,0,,,,,,,,,
13.28476865,7.669964757,0,,,,,,,,,
13.28476865,4.261091532,-2.410437374,,,,,,,,,
11.80868325,6.817746451,-2.410437374,,,,,,,,,
13.28476865,5.965528144,-4.820874748,,,,,,,,,
11.80868325,8.522183063,-4.820874748,,,,,,,,,
14.76085406,5.113309838,0,,,,,,,,,
16.23693946,7.669964757,0,,,,,,,,,
16.23693946,4.261091532,-2.410437374,,,,,,,,,
14.76085406,6.817746451,-2.410437374,,,,,,,,,
16.23693946,5.965528144,-4.820874748,,,,,,,,,
14.76085406,8.522183063,-4.820874748,,,,,,,,,
17.71302487,5.113309838,0,,,,,,,,,
19.18911027,7.669964757,0,,,,,,,,,
19.18911027,4.261091532,-2.410437374,,,,,,,,,
17.71302487,6.817746451,-2.410437374,,,,,,,,,
19.18911027,5.965528144,-4.820874748,,,,,,,,,
17.71302487,8.522183063,-4.820874748,,,,,,,,,
20.66519568,5.113309838,0,,,,,,,,,
22.14128109,7.669964757,0,,,,,,,,,
22.14128109,4.261091532,-2.410437374,,,,,,,,,
20.66519568,6.817746451,-2.410437374,,,,,,,,,
22.14128109,5.965528144,-4.820874748,,,,,,,,,
20.66519568,8.522183063,-4.820874748,,,,,,,,,
23.61736649,5.113309838,0,,,,,,,,,
25.0934519,7.669964757,0,,,,,,,,,
25.0934519,4.261091532,-2.410437374,,,,,,,,,
23.61736649,6.817746451,-2.410437374,,,,,,,,,
25.0934519,5.965528144,-4.820874748,,,,,,,,,
23.61736649,8.522183063,-4.820874748,,,,,,,,,
26.5695373,5.113309838,0,,,,,,,,,
28.04562271,7.669964757,0,,,,,,,,,
28.04562271,4.261091532,-2.410437374,,,,,,,,,
26.5695373,6.817746451,-2.410437374,,,,,,,,,
28.04562271,5.965528144,-4.820874748,,,,,,,,,
26.5695373,8.522183063,-4.820874748,,,,,,,,,
29.52170811,5.113309838,0,,,,,,,,,
30.99779352,7.669964757,0,,,,,,,,,
30.99779352,4.261091532,-2.410437374,,,,,,,,,
