t,KE,PE,TE
0.0,14.793434641696976,0.0,14.793434641696976
0.010000000000000002,14.784811123345216,0.008623537995800047,14.793434661341017
0.020000000000000004,14.758971987359775,0.034462732828371735,14.793434720188147
0.030000000000000006,14.716011355003545,0.07742346298020557,14.793434817983751
0.04000000000000001,14.656085642532908,0.13734931177191487,14.793434954304823
0.05,14.579412884662368,0.21402224389959856,14.793435128561967
0.06000000000000001,14.48627179187847,0.30716354812365193,14.793435340002123
0.07,14.377000546039918,0.41643504167223966,14.793435587712157
0.08000000000000002,14.251995339930772,0.5414405306923478,14.79343587062312
0.09000000000000001,14.111708667635998,0.6817275198793307,14.79343618751533
0.1,13.956647373776427,0.8367891632476403,14.793436537024068
0.11000000000000001,13.787370470769195,1.0060664468766936,14.793436917645888
0.12000000000000002,13.60448673436281,1.1889505933830433,14.793437327745853
0.13,13.408652088728902,1.3847856768361837,14.793437765565086
0.14,13.200566793370246,1.5928714358588436,14.793438229229091
0.15000000000000002,12.980972445021253,1.8124662717350315,14.793438716756285
0.16000000000000003,12.750648808569656,2.042790417498083,14.79343922606774
0.17000000000000004,12.510410491810935,2.283029263185363,14.793439754996298
0.18000000000000002,12.261103479557505,2.532336821739628,14.793440301297133
0.19000000000000003,12.00360154325915,2.7898393193989257,14.793440862658073
0.2,11.73880254284574,3.0546388938644493,14.79344143671019
0.21000000000000002,11.467624637976668,3.3258173830621787,14.793442021038846
0.22000000000000003,11.19100242627034,3.6024401869247704,14.79344261319511
0.23000000000000004,10.909883026390037,3.8835601843167953,14.793443210706833
0.24000000000000005,10.625222124078471,4.168221687011511,14.79344381108998
0.25,10.337979999360908,4.455464412499343,14.79344441186025
0.26,10.049117553175474,4.744327457368811,14.793445010544286
0.27,9.759592351639979,5.033853253051315,14.793445604691293
0.28,9.470354706025969,5.323091485857825,14.793446191883795
0.29000000000000004,9.182343806285601,5.611102963463089,14.793446769748689
0.30000000000000004,8.896483925665091,5.896963410303133,14.793447335968224
0.31000000000000005,8.61368071354243,6.179767174747631,14.79344788829006
0.32000000000000006,8.334817593148676,6.458630831388907,14.793448424537583
0.33000000000000007,8.060752280274002,6.73269666234572,14.793448942619722
0.3400000000000001,7.792313438424827,7.00113600211445,14.793449440539275
0.35000000000000003,7.530297485189963,7.26315243121304,14.793449916403002
0.36000000000000004,7.27546556379568,7.51798480463319,14.79345036842887
0.37000000000000005,7.028540692985805,7.764910101968451,14.793450794954255
0.38000000000000006,6.790205107457821,8.003246086984682,14.793451194442502
0.39000000000000007,6.561097800124129,8.232353765365248,14.793451565489377
0.4,6.341812276454123,8.451639630375245,14.793451906829368
0.4100000000000001,6.132894530092547,8.660557687247646,14.793452217340194
0.42000000000000004,5.934841247848522,8.858611248198795,14.793452496047317
0.43,5.748098251012594,9.045354491115361,14.793452742127956
0.44000000000000006,5.57305917879291,9.220393776119971,14.793452954912881
0.45,5.410064418470927,9.383388715418945,14.793453133889871
0.4600000000000001,5.259400285669062,9.534052993034994,14.793453278704055
0.47000000000000003,5.121298456902431,9.672154932256671,14.793453389159101
0.4800000000000001,4.995935655361337,9.797517809855774,14.793453465217112
0.49000000000000005,4.883433589645886,9.910019917350855,14.793453506996741
0.5,4.783859143955665,10.009594370816925,14.793453514772592
0.5100000000000001,4.6972248170314534,10.096228671941033,14.793453488972485
0.52,4.623489405958859,10.169964024214888,14.793453430173745
0.5300000000000001,4.562558929781074,10.230894409318891,14.793453339099965
0.54,4.514287786735584,10.279165429881091,14.793453216616674
0.55,4.478480137833201,10.314972925891993,14.793453063725195
0.56,4.454891508442372,10.338561373115033,14.793452881557405
0.5700000000000001,4.443230598532757,10.350222072836619,14.793452671369376
0.5800000000000001,4.443161291274306,10.350291143259719,14.793452434534025
0.5900000000000001,4.454304848785982,10.339147323747715,14.793452172533698
0.6000000000000001,4.476242282986469,10.317209603966024,14.793451886952491
0.6100000000000001,4.5085168887214015,10.284934690745825,14.793451579467225
0.6200000000000001,4.550636925631592,10.242814326207492,14.793451251839084
0.6300000000000001,4.602078434587718,10.191372471316003,14.793450905903722
0.6400000000000001,4.6622881739518744,10.131162369610765,14.79345054356264
0.65,4.730686660437707,10.06276350633532,14.793450166773027
0.6600000000000001,4.8066712989308575,9.986778478606386,14.793449777537244
0.67,4.889619585301669,9.903829792591772,14.793449377893442
0.6800000000000002,4.978892365993941,9.814556603910969,14.79344896990491
0.6900000000000001,5.073837138007905,9.719611417642025,14.79344855564993
0.7000000000000001,5.173791372812787,9.619656764398876,14.793448137211662
0.7100000000000001,5.278085847724527,9.515361868942904,14.793447716667432
0.7200000000000001,5.386047968367032,9.407399327711907,14.79344729607894
0.7300000000000001,5.497005065999815,9.29644181148224,14.793446877482056
0.7400000000000001,5.6102876537398325,9.183158809137447,14.79344646287728
0.75,5.725232626029264,9.068213428190674,14.793446054219938
0.7600000000000001,5.841186386101607,8.952259267309797,14.793445653411405
0.77,5.95750788667351,8.835937375616036,14.793445262289547
0.7800000000000001,6.073571569636581,8.719873312984346,14.793444882620925
0.79,6.188770191138289,8.604674324953677,14.793444516091968
0.8,6.302517519121476,8.49092664518042,14.793444164301896
0.81,6.414250891132878,8.379192937622516,14.793443828755395
0.8200000000000002,6.523433621009644,8.270009889846557,14.7934435108562
0.8300000000000001,6.629557243903621,8.163885967997242,14.793443211900863
0.8400000000000001,6.732143590002027,8.061299343071344,14.79344293307337
0.8500000000000001,6.830746678245556,7.962695997194684,14.79344267544024
0.86,6.924954422324963,7.868488017621602,14.793442439946567
