x,y,z
-0.25970787178178584 nm ps⁻¹,-11.101886983635193 nm ps⁻¹,4.17607359886683 nm ps⁻¹
1.5091166369049607 nm ps⁻¹,6.307548289877893 nm ps⁻¹,-0.25986257015549624 nm ps⁻¹
-0.7240672485419339 nm ps⁻¹,-17.170751788534368 nm ps⁻¹,1.7172591436254565 nm ps⁻¹
-0.41007922890528076 nm ps⁻¹,15.149856854691098 nm ps⁻¹,-3.938626543005461 nm ps⁻¹
-0.42849489560607895 nm ps⁻¹,1.9288116162460205 nm ps⁻¹,-6.180668115732399 nm ps⁻¹
-0.12250343926155627 nm ps⁻¹,-0.5814474109540015 nm ps⁻¹,-0.6485421238398454 nm ps⁻¹
-0.10397050827698173 nm ps⁻¹,-5.910214349505651 nm ps⁻¹,4.651733238548597 nm ps⁻¹
1.1882274104311261 nm ps⁻¹,1.5498963996128532 nm ps⁻¹,-0.8402718779890155 nm ps⁻¹
6.010071326956624 nm ps⁻¹,-11.158696611480575 nm ps⁻¹,3.058165838815564 nm ps⁻¹
-0.2835143141268196 nm ps⁻¹,16.02917082757831 nm ps⁻¹,-2.17323613511955 nm ps⁻¹
6.832117702120181e-5 nm ps⁻¹,2.2615311657936523 nm ps⁻¹,-6.633124274128129 nm ps⁻¹
0.023192315393975236 nm ps⁻¹,-0.29008017506779304 nm ps⁻¹,-0.8871485950038482 nm ps⁻¹
-9.033511398391244 nm ps⁻¹,0.4416550519007266 nm ps⁻¹,2.0500690422317622 nm ps⁻¹
3.2922275742639684 nm ps⁻¹,-2.2657726920158945 nm ps⁻¹,1.1111564572809376 nm ps⁻¹
5.319784787233515 nm ps⁻¹,4.019040418790701 nm ps⁻¹,1.4879873234592282 nm ps⁻¹
-6.785576250487302 nm ps⁻¹,-0.289414250204521 nm ps⁻¹,-0.8408436415097413 nm ps⁻¹
5.73553595601595 nm ps⁻¹,1.8405131158312165 nm ps⁻¹,2.8561397197384535 nm ps⁻¹
-15.166939386660752 nm ps⁻¹,-0.3309083853010743 nm ps⁻¹,-0.5339725575068756 nm ps⁻¹
6.386560876170648 nm ps⁻¹,-0.39816419492152855 nm ps⁻¹,-0.3770300100225599 nm ps⁻¹
-0.32380542463265 nm ps⁻¹,-0.553989195156261 nm ps⁻¹,-0.6256713670177563 nm ps⁻¹
-0.0065972304928564 nm ps⁻¹,-0.2147476148526473 nm ps⁻¹,-0.5278975693416516 nm ps⁻¹
4.006449009454858 nm ps⁻¹,-0.3213524703164622 nm ps⁻¹,-0.728673194357525 nm ps⁻¹
-0.034467578817684974 nm ps⁻¹,-0.3881449997381038 nm ps⁻¹,-0.6892043776796085 nm ps⁻¹
9.665145949375237 nm ps⁻¹,-0.2918570073745039 nm ps⁻¹,-0.5766830752796186 nm ps⁻¹
0.04591875437303273 nm ps⁻¹,-0.09441203785062746 nm ps⁻¹,-0.603610460677448 nm ps⁻¹
0.021218992200566715 nm ps⁻¹,-0.27603474101565784 nm ps⁻¹,-0.7654385708950326 nm ps⁻¹
-0.028813622398434935 nm ps⁻¹,-0.14192965352144024 nm ps⁻¹,-0.6661104106531334 nm ps⁻¹
-0.11197778464172854 nm ps⁻¹,-0.29308138971931674 nm ps⁻¹,-0.5732864491116116 nm ps⁻¹
-0.08907906135513025 nm ps⁻¹,-0.47365159566317105 nm ps⁻¹,-0.8470262661784077 nm ps⁻¹
-0.11354354515108714 nm ps⁻¹,-0.2918530649274919 nm ps⁻¹,-0.4502020806396929 nm ps⁻¹
-0.010862423158856261 nm ps⁻¹,-0.4043963575463716 nm ps⁻¹,-0.5535587935747404 nm ps⁻¹
-0.014892148371946062 nm ps⁻¹,-0.41344370784741263 nm ps⁻¹,-0.887384752095926 nm ps⁻¹
0.03221886426396285 nm ps⁻¹,-0.10760990457381915 nm ps⁻¹,-0.5881003527045418 nm ps⁻¹
0.01316249642362009 nm ps⁻¹,-0.16185555449909744 nm ps⁻¹,-0.5221798260270512 nm ps⁻¹
-0.1672178311114321 nm ps⁻¹,-0.28834776925046063 nm ps⁻¹,-0.47014209647459637 nm ps⁻¹
-0.03737431836197853 nm ps⁻¹,-0.2809318126695371 nm ps⁻¹,-0.45049001245027753 nm ps⁻¹
-0.004109028937610461 nm ps⁻¹,-0.2927692330654194 nm ps⁻¹,-0.7008950123019313 nm ps⁻¹
-0.09783024930716919 nm ps⁻¹,-0.309724058562734 nm ps⁻¹,-0.7283902779844984 nm ps⁻¹
-0.1847800607045979 nm ps⁻¹,-0.3522426138371593 nm ps⁻¹,-0.8010210885067476 nm ps⁻¹
0.05082602605188403 nm ps⁻¹,-0.14285688777339917 nm ps⁻¹,-0.6741412341797651 nm ps⁻¹
0.07532227093790031 nm ps⁻¹,-0.5074074713473048 nm ps⁻¹,-0.6655213721602715 nm ps⁻¹
0.00819062850016 nm ps⁻¹,-0.08769430080764386 nm ps⁻¹,-0.7191196224677651 nm ps⁻¹
-0.0023918475782959683 nm ps⁻¹,-0.2463255996423539 nm ps⁻¹,-0.7778694940568489 nm ps⁻¹
-0.09049072793829925 nm ps⁻¹,-0.26139270790329755 nm ps⁻¹,-0.7099602423322242 nm ps⁻¹
-0.07243782225317599 nm ps⁻¹,-0.4185348206808455 nm ps⁻¹,-0.6994195184614239 nm ps⁻¹
-0.21250965580439846 nm ps⁻¹,-0.5082906586736147 nm ps⁻¹,-0.6706723024634204 nm ps⁻¹
-0.0042886945530573335 nm ps⁻¹,-0.42074357054931605 nm ps⁻¹,-0.532682437526263 nm ps⁻¹
-0.08698102516661099 nm ps⁻¹,-0.32230821696983386 nm ps⁻¹,-0.7014749338437597 nm ps⁻¹
0.0503386702980737 nm ps⁻¹,-0.4244978103055091 nm ps⁻¹,-0.6707719998075004 nm ps⁻¹
0.11389930557457165 nm ps⁻¹,-0.331229193157606 nm ps⁻¹,-0.5664792314581666 nm ps⁻¹
0.12139854753965106 nm ps⁻¹,-0.39791965020045555 nm ps⁻¹,-0.5777481660350668 nm ps⁻¹
0.00998679045914099 nm ps⁻¹,-0.27453062312630067 nm ps⁻¹,-0.688477609465238 nm ps⁻¹
0.08799024248232093 nm ps⁻¹,-0.1439829542755812 nm ps⁻¹,-0.6358653386981394 nm ps⁻¹
0.06053743981090903 nm ps⁻¹,-0.3079771645394114 nm ps⁻¹,-0.4026843433301381 nm ps⁻¹
-0.09989392514353013 nm ps⁻¹,-0.322551348270621 nm ps⁻¹,-0.6730486064515269 nm ps⁻¹
-0.13180325109318128 nm ps⁻¹,-0.293248950244968 nm ps⁻¹,-0.5737275262213039 nm ps⁻¹
0.07724172531287837 nm ps⁻¹,-0.3060295117534221 nm ps⁻¹,-0.7435619685604213 nm ps⁻¹
0.11703648277349396 nm ps⁻¹,-0.25139153061151276 nm ps⁻¹,-0.7458458688867693 nm ps⁻¹
0.0010985134089472619 nm ps⁻¹,-0.40076519634544894 nm ps⁻¹,-0.6246859493148399 nm ps⁻¹
0.0812215617633719 nm ps⁻¹,-0.49113760392347816 nm ps⁻¹,-0.475932618644949 nm ps⁻¹
0.32071906609459977 nm ps⁻¹,-0.45401013332987467 nm ps⁻¹,-0.37457018268065406 nm ps⁻¹
-0.020374023916650774 nm ps⁻¹,-0.296995164913592 nm ps⁻¹,-0.4574508190617769 nm ps⁻¹
0.16563388152766173 nm ps⁻¹,-0.28076196346068644 nm ps⁻¹,-0.6471118305872001 nm ps⁻¹
-0.13051196135484658 nm ps⁻¹,-0.37550874392360206 nm ps⁻¹,-0.5622886125854717 nm ps⁻¹
-0.017750820813554176 nm ps⁻¹,-0.6089493575048684 nm ps⁻¹,-0.4054371977724724 nm ps⁻¹
